City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Altos,BR,88.11,broken clouds,-5.0381,-42.46,Pousada Das Aguias
4,Biak,ID,74.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
5,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
7,Rikitea,PF,73.26,clear sky,-23.1203,-134.9692,People ThankYou
10,Anloga,GH,73.74,light rain,5.7947,0.8973,Pin Drop Hotel
12,Kotovo,RU,72.1,overcast clouds,50.3211,44.8012,Voyazh
13,Naze,JP,81.52,few clouds,28.3667,129.4833,Shishime Hotel
14,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
15,Cabo San Lucas,MX,87.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Hadejia,NG,75.02,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
19,Ararat,AM,82.74,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
21,Skeldon,GY,79.23,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
24,Jamestown,US,77.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Toyooka,JP,78.82,moderate rain,35.5333,134.8333,O Hotel Toyooka
29,Butaritari,KI,81.55,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
34,Mahajanga,MG,71.62,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
37,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
40,Nauta,PE,80.55,light rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
45,Yellowknife,CA,77.56,clear sky,62.456,-114.3525,The Explorer Hotel
48,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
52,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
65,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Coahuayana,MX,86.4,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
