City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altos,BR,2022-08-14 21:44:09,-5.0381,-42.46,88.11,27,63,1.57,broken clouds
1,Barrow,US,2022-08-14 21:42:32,71.2906,-156.7887,37.42,87,100,8.05,overcast clouds
2,Vaini,TO,2022-08-14 21:42:19,-21.2,-175.2,68.16,94,75,10.36,light intensity shower rain
3,Bluff,NZ,2022-08-14 21:39:28,-46.6,168.3333,44.02,78,90,8.03,overcast clouds
4,Biak,ID,2022-08-14 21:44:12,-0.9131,122.8766,74.82,83,98,6.58,overcast clouds
5,The Valley,AI,2022-08-14 21:44:12,18.217,-63.0578,87.66,79,20,9.22,few clouds
6,Riviere-Au-Renard,CA,2022-08-14 21:44:13,48.9957,-64.3971,62.89,96,100,14.94,overcast clouds
7,Rikitea,PF,2022-08-14 21:42:17,-23.1203,-134.9692,73.26,77,0,18.68,clear sky
8,Punta Arenas,CL,2022-08-14 21:42:16,-53.15,-70.9167,39.31,81,75,18.41,broken clouds
9,Bilibino,RU,2022-08-14 21:44:15,68.0546,166.4372,38.73,90,100,6.13,overcast clouds
10,Anloga,GH,2022-08-14 21:44:16,5.7947,0.8973,73.74,91,100,17.9,light rain
11,Narsaq,GL,2022-08-14 21:39:25,60.9167,-46.05,59.22,92,46,2.66,scattered clouds
12,Kotovo,RU,2022-08-14 21:44:16,50.3211,44.8012,72.1,51,97,15.57,overcast clouds
13,Naze,JP,2022-08-14 21:40:12,28.3667,129.4833,81.52,79,18,11.56,few clouds
14,Atuona,PF,2022-08-14 21:42:20,-9.8,-139.0333,77.36,67,2,19.75,clear sky
15,Cabo San Lucas,MX,2022-08-14 21:44:17,22.8909,-109.9124,87.62,65,63,6.15,broken clouds
16,Souillac,MU,2022-08-14 21:41:58,-20.5167,57.5167,70.18,78,75,17.27,broken clouds
17,Busselton,AU,2022-08-14 21:42:25,-33.65,115.3333,57.38,74,100,14.76,overcast clouds
18,Hadejia,NG,2022-08-14 21:44:18,12.4498,10.0444,75.02,83,100,7.49,overcast clouds
19,Ararat,AM,2022-08-14 21:44:18,39.8317,44.7049,82.74,35,0,3.98,clear sky
20,Havre-Saint-Pierre,CA,2022-08-14 21:44:18,50.2334,-63.5986,64.76,88,100,4.61,overcast clouds
21,Skeldon,GY,2022-08-14 21:44:18,5.8833,-57.1333,79.23,78,54,6.22,broken clouds
22,Eureka,US,2022-08-14 21:44:05,40.8021,-124.1637,67.35,79,17,8.01,few clouds
23,Maun,BW,2022-08-14 21:44:19,-19.9833,23.4167,66.16,24,0,10.36,clear sky
24,Jamestown,US,2022-08-14 21:42:28,42.097,-79.2353,77.02,38,75,3.44,broken clouds
25,Hermanus,ZA,2022-08-14 21:42:30,-34.4187,19.2345,50.11,65,89,7.76,overcast clouds
26,Kapaa,US,2022-08-14 21:44:20,22.0752,-159.319,84.18,69,20,10.36,few clouds
27,Half Moon Bay,US,2022-08-14 21:44:21,37.4636,-122.4286,95.88,65,0,19.57,haze
28,Toyooka,JP,2022-08-14 21:44:21,35.5333,134.8333,78.82,88,100,4.38,moderate rain
29,Butaritari,KI,2022-08-14 21:44:21,3.0707,172.7902,81.55,78,45,14.94,light rain
30,Hambantota,LK,2022-08-14 21:41:54,6.1241,81.1185,77.34,100,20,2.3,few clouds
31,Ritchie,ZA,2022-08-14 21:44:22,-29.038,24.6028,42.01,45,0,9.19,clear sky
32,Carnarvon,AU,2022-08-14 21:42:31,-24.8667,113.6333,66.54,71,86,7.14,overcast clouds
33,Mataura,NZ,2022-08-14 21:44:22,-46.1927,168.8643,42.22,81,94,2.98,overcast clouds
34,Mahajanga,MG,2022-08-14 21:44:22,-15.7167,46.3167,71.62,60,0,10.36,clear sky
35,Port Augusta,AU,2022-08-14 21:44:23,-32.5,137.7667,46.58,61,48,9.55,scattered clouds
36,Khatanga,RU,2022-08-14 21:41:56,71.9667,102.5,52.25,62,35,4.88,scattered clouds
37,Praia,CV,2022-08-14 21:44:23,14.9215,-23.5087,79.34,78,75,11.5,broken clouds
38,Ucluelet,CA,2022-08-14 21:44:24,48.9329,-125.5528,68.09,82,65,1.99,broken clouds
39,Codrington,AU,2022-08-14 21:44:24,-38.2667,141.9667,51.17,84,98,16.33,overcast clouds
40,Nauta,PE,2022-08-14 21:44:25,-4.5061,-73.5757,80.55,78,59,3.74,light rain
41,Chokurdakh,RU,2022-08-14 21:44:26,70.6333,147.9167,46.53,53,9,7.05,clear sky
42,Ushuaia,AR,2022-08-14 21:44:26,-54.8,-68.3,37.06,93,100,12.66,light rain
43,Illela,NG,2022-08-14 21:44:27,13.7292,5.2975,79.32,73,99,9.8,light rain
44,Fowa,NG,2022-08-14 21:44:28,8.9167,6.4,72.57,95,100,4.23,light rain
45,Yellowknife,CA,2022-08-14 21:41:36,62.456,-114.3525,77.56,33,0,17.27,clear sky
